course_id,title,department,description,keywords
CS101,Introduction to Python Programming,Computer Science,"Learn Python basics, data structures, and control flow for beginners.","python, programming, beginner, basics, data structures"
CS201,Advanced Python for Data Science,Computer Science,"Python libraries for data analysis: NumPy, Pandas, and data visualization.","python, data science, numpy, pandas, matplotlib, data analysis"
CS301,Machine Learning Fundamentals,Computer Science,Supervised and unsupervised learning algorithms with Python implementations.,"machine learning, algorithms, scikit-learn, ai, data science"
CS302,Deep Learning with TensorFlow,Computer Science,"Neural networks, CNN, RNN, and TensorFlow/Keras for deep learning projects.","deep learning, neural networks, tensorflow, keras, cnn, rnn"
DS101,Data Analysis with SQL,Data Science,"SQL queries, database design, and data extraction techniques.","sql, database, data analysis, queries, data extraction"
DS201,Data Visualization with Tableau,Data Science,Create interactive dashboards and visualizations using Tableau.,"data visualization, tableau, dashboards, charts, business intelligence"
AI101,Introduction to Artificial Intelligence,Artificial Intelligence,"Fundamental AI concepts, search algorithms, and problem-solving.","artificial intelligence, ai, search algorithms, problem solving"
AI201,Natural Language Processing,Artificial Intelligence,"Text processing, sentiment analysis, and language models.","nlp, natural language processing, text analysis, sentiment analysis"
WEB101,Web Development with Flask,Web Development,Build web applications using Python Flask framework and REST APIs.,"web development, flask, python, rest api, backend"
WEB201,Full Stack JavaScript Development,Web Development,"Modern JavaScript, React, Node.js, and MongoDB for full-stack applications.","javascript, react, node.js, mongodb, full stack"
STAT101,Statistics for Data Science,Mathematics,"Probability, statistical inference, and hypothesis testing for data analysis.","statistics, probability, data analysis, hypothesis testing"
MATH201,Linear Algebra for Machine Learning,Mathematics,"Vectors, matrices, and linear transformations with ML applications.","linear algebra, matrices, vectors, machine learning"
BIO101,Bioinformatics with Python,Biology,Python applications in biological data analysis and genomic research.,"bioinformatics, python, biology, genomics, data analysis"
BUS101,Business Analytics,Business,Data-driven decision making and business intelligence tools.,"business analytics, decision making, business intelligence, data"
CLOUD101,Cloud Computing with AWS,Cloud Computing,"AWS services, cloud architecture, and deployment strategies.","aws, cloud computing, cloud architecture, deployment"
